population_provenance_schema_version,source_resource_identifier,projection_vintage,acquisition_mode,origin_verification_status,source_authority,source_title,source_landing_url,source_download_url,source_format,source_sha256,source_publication_date,acquired_at_utc,local_filename
1.0.0,indec_proyecciones_provinciales_2010_2040,indec_census_2010_projection_2010_2040,online_download,official_host_download,INDEC,Población estimada al 1 de julio según año calendario por sexo para el total del país y provincias. Años 2010-2040,https://www.indec.gob.ar/indec/web/Institucional-Indec-InformacionDeArchivo-1,https://www.indec.gob.ar/ftp/cuadros/poblacion/c1_proyecciones_prov_2010_2040.xls,xls,c651e0f0b237abaf8709dd20e2c8bb62caa3f6ebbd6b77a2b5349a5f81287a5b,,2026-08-20 16:25:33 UTC,c1_proyecciones_prov_2010_2040.xls
1.0.0,indec_proyecciones_jurisdiccionales_2022_2040_c1,indec_census_2022_projection_2022_2040,online_download,official_host_download,INDEC,"Población estimada al 1 de julio, por sexo, según año calendario. Total del país y jurisdicciones. Años 2022-2040",https://www.indec.gob.ar/indec/web/Nivel4-Tema-2-24-85,https://www.indec.gob.ar/ftp/cuadros/poblacion/proyecciones_jurisdicciones_2022_2040_c1.xlsx,xlsx,7dd84165fe90415793f6788338ed3273ed1d2fe9ea25cbe355110805e1cc89f3,,2026-08-20 16:25:33 UTC,proyecciones_jurisdicciones_2022_2040_c1.xlsx
